time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,mag_X,mag_Y,mag_Z,temperature,pressure,VOC,CO2,Humidity
2025/03/21-00:22:00,955,-109,4110,281,-403,-1469,420,-123,-177,25.04,996.77,0.45,500,40.19
2025/03/21-00:22:30,605,165,4283,125,246,1338,290,-209,-194,25.07,996.81,0.49,500,41.34
2025/03/21-00:23:00,440,-338,4114,494,-400,2251,213,-231,-29,25.26,996.74,0.48,500,40.37
2025/03/21-00:23:30,1230,-446,4165,-73,232,668,307,-78,-165,25.92,996.54,0.46,500,39.1
2025/03/21-00:24:00,-176,-215,4215,-331,-311,-1694,303,-222,-34,24.88,996.8,0.45,500,39.56
2025/03/21-00:24:30,-1515,-473,4275,200,-45,-1514,316,-34,-97,24.99,996.76,0.49,500,39.19
2025/03/21-00:25:00,-328,68,4560,-418,-401,968,301,-148,-227,25.34,996.81,0.49,500,41.48
2025/03/21-00:25:30,501,-301,4345,-402,-407,506,405,-207,-135,25.9,996.78,0.48,500,41.31
2025/03/21-00:26:00,-1530,88,4389,496,23,592,483,-106,-129,25.48,996.67,0.5,500,41.58
2025/03/21-00:26:30,-771,-338,3926,387,340,-1441,482,-145,-173,25.02,996.67,0.49,500,41.57
2025/03/21-00:27:00,1649,265,4359,40,401,2898,202,-219,-52,25.99,996.98,0.46,500,39.56
2025/03/21-00:27:30,-645,320,4313,-64,137,-25,207,-226,-113,25.14,996.62,0.49,500,39.09
2025/03/21-00:28:00,-907,14,4203,-363,385,2186,455,-218,-114,24.53,996.95,0.48,500,41.17
2025/03/21-00:28:30,-1730,283,4482,46,-36,-1312,263,-64,-13,26.0,996.83,0.49,500,41.95
2025/03/21-00:29:00,-831,403,3989,-229,-314,-2849,449,-165,-30,25.82,996.64,0.46,500,41.32
2025/03/21-00:29:30,-1463,485,4571,349,232,-189,350,-6,-205,24.73,996.7,0.48,500,39.84
2025/03/21-00:30:00,258,325,4583,96,80,-2669,242,-236,-240,25.86,997.0,0.49,500,41.57
2025/03/21-00:30:30,-1560,175,4562,242,143,550,476,-96,-51,25.34,996.72,0.49,500,41.3
2025/03/21-00:31:00,-177,175,4117,-337,165,-2660,349,-223,-38,25.2,996.81,0.45,500,39.98
2025/03/21-00:31:30,1493,131,4173,-499,152,2942,262,-137,-19,25.55,996.61,0.47,500,40.94
2025/03/21-00:32:00,-1875,-357,4299,213,429,1717,342,-250,-23,24.78,996.6,0.48,500,39.54
2025/03/21-00:32:30,118,-59,3821,484,373,-2769,232,-42,-101,25.7,996.87,0.49,500,40.78
2025/03/21-00:33:00,1381,-269,3907,-224,350,529,343,-196,-241,25.3,996.59,0.49,500,41.26
2025/03/21-00:33:30,878,103,4026,29,430,-1062,201,-51,-49,25.5,996.69,0.49,500,39.51
2025/03/21-00:34:00,-524,169,4599,251,-51,-1232,426,-14,-115,24.84,996.71,0.5,500,41.61
2025/03/21-00:34:30,-1340,-59,4229,-130,347,1670,244,-147,-117,25.3,996.52,0.49,500,40.99
2025/03/21-00:35:00,308,-438,4161,-30,47,-2442,480,-137,-81,25.75,996.95,0.47,500,41.21
2025/03/21-00:35:30,-1516,321,4551,249,391,60,280,-229,-195,25.64,996.87,0.46,500,39.25
2025/03/21-00:36:00,1258,77,4299,372,412,1564,375,-50,-129,25.6,996.76,0.46,500,40.07
2025/03/21-00:36:30,-677,180,3805,-283,-249,2613,263,-230,-173,25.38,996.74,0.45,500,41.73
2025/03/21-00:37:00,1671,126,3836,-180,75,-1953,444,-58,-247,25.31,996.57,0.49,500,40.27
2025/03/21-00:37:30,356,464,4285,-464,-186,2171,403,-108,-186,25.64,996.98,0.47,500,39.91
2025/03/21-00:38:00,1335,-155,4553,487,-494,-249,409,-138,-61,25.13,996.84,0.47,500,41.32
2025/03/21-00:38:30,-1798,285,3912,-66,-88,366,283,-11,-161,25.46,996.79,0.49,500,39.76
2025/03/21-00:39:00,-543,184,4492,-180,48,-489,445,-104,-25,24.96,996.6,0.45,500,40.96
2025/03/21-00:39:30,-1021,2,4418,-86,-11,2553,474,-199,-183,25.57,996.69,0.49,500,39.67
2025/03/21-00:40:00,-1034,-195,3814,370,118,-364,337,-7,-148,25.3,996.61,0.45,500,40.63
2025/03/21-00:40:30,-1627,175,4401,-36,-337,-2610,464,-61,-210,25.2,996.63,0.48,500,39.73
2025/03/21-00:41:00,-940,293,4061,397,-187,-1711,387,-194,-161,25.62,996.57,0.47,500,40.23
2025/03/21-00:41:30,304,409,4256,-473,-335,-820,312,-102,-193,25.47,996.81,0.48,500,41.82
2025/03/21-00:42:00,-1315,-133,4192,-226,154,-2129,301,-14,-135,25.45,996.72,0.45,500,39.22
2025/03/21-00:42:30,803,-279,4426,-489,-188,-1543,487,-188,-150,24.83,996.75,0.48,500,40.48
2025/03/21-00:43:00,1666,48,3936,-167,-414,-526,395,-192,-82,25.31,996.84,0.47,500,40.54
2025/03/21-00:43:30,-1712,-281,4183,-86,-158,829,456,-199,-101,25.83,996.65,0.45,500,41.93
2025/03/21-00:44:00,-1859,485,3909,-293,181,-1854,243,-158,-195,24.95,996.75,0.49,500,39.58
2025/03/21-00:44:30,529,-367,4052,471,53,-530,454,-146,-36,25.2,996.55,0.47,500,40.85
2025/03/21-00:45:00,1962,484,4575,321,-72,-2582,335,-174,-79,25.77,996.51,0.49,500,40.55
2025/03/21-00:45:30,-1847,-314,4148,-183,388,-1573,262,-190,-77,25.2,996.54,0.48,500,40.44
2025/03/21-00:46:00,-511,-112,4086,215,-35,673,355,-142,-18,25.7,996.6,0.47,500,40.4
2025/03/21-00:46:30,-1570,-339,4099,334,388,1532,387,-87,-28,25.06,996.83,0.49,500,40.7
2025/03/21-00:47:00,-719,19,4256,164,354,-2663,268,-143,-30,25.88,996.98,0.46,500,40.7
2025/03/21-00:47:30,232,-271,4466,47,-38,-2335,229,-14,-119,25.09,996.73,0.49,500,40.76
2025/03/21-00:48:00,-965,-435,4288,-68,-94,421,333,-19,-41,25.95,996.59,0.48,500,41.29
2025/03/21-00:48:30,-335,-156,4591,432,353,-1585,399,-67,-1,25.84,996.76,0.49,500,41.95
2025/03/21-00:49:00,1021,-233,4155,465,-440,-1639,488,-130,-21,25.09,996.86,0.5,500,41.08
2025/03/21-00:49:30,-183,423,4570,-448,-426,-518,459,-147,-97,25.64,996.55,0.48,500,40.04
2025/03/21-00:50:00,1817,220,4362,207,-465,-367,212,-177,-80,24.5,996.98,0.5,500,39.82
2025/03/21-00:50:30,995,-195,4486,450,-34,2151,441,-201,-145,25.82,996.99,0.47,500,39.4
2025/03/21-00:51:00,1260,260,4253,-230,214,-542,406,-100,-160,25.99,996.54,0.47,500,41.51
2025/03/21-00:51:30,523,262,3977,-155,-181,-1345,253,-123,-238,24.7,996.51,0.5,500,39.01
2025/03/21-00:52:00,-462,-448,4334,246,-389,-2086,345,-242,-85,24.85,996.93,0.48,500,40.02
2025/03/21-00:52:30,86,253,4125,219,-291,846,370,-188,-155,24.69,996.88,0.45,500,40.95
2025/03/21-00:53:00,-1798,320,4124,-450,-146,1902,251,-93,-120,24.81,996.52,0.49,500,40.17
2025/03/21-00:53:30,933,-151,4120,292,317,-1720,401,-239,-73,25.83,996.84,0.45,500,39.83
2025/03/21-00:54:00,279,342,3824,-101,35,-1485,464,-210,-249,24.84,996.92,0.48,500,41.31
2025/03/21-00:54:30,1480,-178,3925,-70,-276,-2603,393,-1,-32,25.37,996.8,0.46,500,39.72
2025/03/21-00:55:00,-233,-357,3883,236,120,2309,358,-134,-200,24.52,996.73,0.49,500,41.0
2025/03/21-00:55:30,-648,-468,3996,-266,-84,14,353,-125,-235,25.03,996.73,0.49,500,40.33
2025/03/21-00:56:00,-1288,-328,3915,-170,151,1918,205,-3,-1,24.56,996.55,0.49,500,39.1
2025/03/21-00:56:30,1615,31,3812,-78,-74,-713,355,-30,-250,25.23,996.61,0.47,500,39.05
2025/03/21-00:57:00,-1236,-88,4415,373,53,1425,260,-247,-224,24.59,996.66,0.47,500,39.38
2025/03/21-00:57:30,-28,-212,4310,-39,486,509,270,-66,-239,24.58,996.91,0.49,500,40.45
2025/03/21-00:58:00,1746,435,3844,48,-433,-1176,444,-211,-118,25.62,996.63,0.46,500,40.95
2025/03/21-00:58:30,-1156,-467,4252,48,-92,1913,303,-11,-186,25.44,996.91,0.46,500,41.4
2025/03/21-00:59:00,-522,-326,4330,146,-265,-188,231,-125,-151,25.7,996.71,0.48,500,40.31
2025/03/21-00:59:30,-640,439,4276,311,-237,-811,346,-3,-4,25.67,996.94,0.47,500,39.42
2025/03/21-01:00:00,-184,477,4389,-465,23,-2187,434,-114,-66,24.79,996.91,0.49,500,39.61
2025/03/21-01:00:30,-1907,72,4498,87,245,1814,258,-126,-233,25.48,996.58,0.46,500,40.75
2025/03/21-01:01:00,962,135,4431,-455,-90,-1090,308,-160,-155,25.19,996.66,0.49,500,39.23
2025/03/21-01:01:30,565,-133,4239,-71,441,2199,277,-139,-95,25.5,996.72,0.48,500,40.47
2025/03/21-01:02:00,1644,-297,4366,-165,-92,-2982,439,-162,-247,24.78,996.57,0.48,500,40.35
2025/03/21-01:02:30,1087,262,4097,250,-462,-1059,368,-167,-213,25.92,996.96,0.45,500,39.83
2025/03/21-01:03:00,-61,72,4248,430,-453,369,392,-199,-37,25.54,996.93,0.49,500,40.09
2025/03/21-01:03:30,-375,417,4248,129,331,2169,281,-88,-16,24.94,996.51,0.48,500,40.43
2025/03/21-01:04:00,-1956,-440,3834,20,-67,607,343,-41,-64,25.64,996.73,0.47,500,39.34
2025/03/21-01:04:30,-843,338,4046,140,-248,67,410,-108,-140,25.93,996.87,0.49,500,41.49
2025/03/21-01:05:00,1955,382,4312,29,12,-219,356,-237,-162,25.54,996.99,0.46,500,41.67
2025/03/21-01:05:30,-711,278,4155,-129,62,-767,462,-141,-92,25.26,996.76,0.49,500,40.62
2025/03/21-01:06:00,659,-83,4010,385,439,326,422,-166,-125,25.37,996.52,0.48,500,41.48
2025/03/21-01:06:30,509,436,4211,165,449,2871,397,-142,-31,25.53,996.71,0.49,500,41.15
2025/03/21-01:07:00,-404,-486,4592,108,-324,-752,282,-168,-224,25.23,996.82,0.45,500,39.85
2025/03/21-01:07:30,1253,-9,4164,-135,276,-937,388,-171,-74,25.31,996.63,0.45,500,41.81
2025/03/21-01:08:00,-615,451,3860,142,-38,2756,463,-72,-107,25.75,996.83,0.48,500,40.14
2025/03/21-01:08:30,1487,67,4544,-78,424,-1553,204,-142,-98,25.71,996.88,0.45,500,40.31
2025/03/21-01:09:00,-493,-259,4415,36,-180,2153,345,-46,-183,25.39,996.91,0.45,500,41.05
2025/03/21-01:09:30,39,-48,4447,146,-487,-1468,207,-73,-244,25.97,996.99,0.48,500,41.72
2025/03/21-01:10:00,1261,403,3892,-405,130,-808,492,-110,-19,24.93,996.96,0.49,500,41.31
2025/03/21-01:10:30,338,495,4232,205,364,2925,384,-184,-210,25.8,996.76,0.49,500,39.63
2025/03/21-01:11:00,144,178,4165,-96,92,-2829,444,-215,-120,25.44,996.73,0.48,500,41.18
2025/03/21-01:11:30,1461,455,3807,-45,203,2909,302,-230,-178,25.2,996.96,0.46,500,41.22
2025/03/21-01:12:00,17,-217,4470,356,482,-2250,352,-213,-176,25.4,996.99,0.46,500,39.06
2025/03/21-01:12:30,484,136,4135,-219,371,-2867,303,-194,-15,24.7,996.73,0.48,500,40.14
2025/03/21-01:13:00,339,-436,4370,337,-140,-174,232,-166,-126,25.44,996.84,0.46,500,39.26
2025/03/21-01:13:30,1773,-363,4164,-92,91,458,309,-51,-172,24.6,996.89,0.46,500,41.97
2025/03/21-01:14:00,-1450,-312,3879,245,-384,-2570,381,-3,-101,24.68,996.96,0.48,500,39.8
2025/03/21-01:14:30,-368,394,4055,56,-412,384,223,-221,-115,24.64,996.81,0.5,500,41.78
2025/03/21-01:15:00,-1037,-257,4390,-190,355,1705,290,-59,-173,25.3,996.99,0.46,500,41.47
2025/03/21-01:15:30,-224,413,3916,492,-463,434,200,-179,-33,25.44,996.59,0.46,500,40.86
2025/03/21-01:16:00,-1586,-224,3929,84,216,2799,393,-172,-160,25.08,996.7,0.47,500,40.09
2025/03/21-01:16:30,-1376,243,4281,479,-59,-2733,440,-13,-31,25.81,996.72,0.5,500,40.87
2025/03/21-01:17:00,461,130,4524,79,289,-1111,417,-78,-49,24.64,996.56,0.46,500,39.64
2025/03/21-01:17:30,861,246,4316,-123,-73,-2023,474,-88,-121,25.47,996.98,0.48,500,39.93
2025/03/21-01:18:00,602,287,4043,-236,354,563,454,-67,-105,25.31,996.97,0.46,500,40.42
2025/03/21-01:18:30,-721,88,4424,453,19,-559,346,-182,-95,24.58,996.61,0.45,500,40.37
2025/03/21-01:19:00,952,435,3882,476,-364,2091,313,-185,-61,25.63,996.99,0.48,500,39.92
2025/03/21-01:19:30,1878,32,4215,-114,219,-2780,220,-90,-18,24.76,996.61,0.49,500,39.31
2025/03/21-01:20:00,-585,-28,3801,237,65,-309,382,-111,-210,25.1,996.66,0.5,500,41.29
2025/03/21-01:20:30,-206,-288,4538,-434,-43,-1437,294,-185,-123,25.7,996.8,0.46,500,39.43
2025/03/21-01:21:00,1214,252,4101,-116,-119,-1795,325,-8,-134,24.55,996.82,0.47,500,40.4
2025/03/21-01:21:30,-311,-308,4281,159,-356,-674,393,-68,-7,25.14,996.9,0.49,500,40.49
2025/03/21-01:22:00,-507,-431,4542,460,484,-1039,278,-218,-234,25.06,996.77,0.5,500,39.77
2025/03/21-01:22:30,1890,90,3939,316,-494,-1075,244,-10,-235,25.23,996.71,0.48,500,39.09
2025/03/21-01:23:00,1858,-231,3982,169,257,-858,360,-119,-37,25.88,996.89,0.48,500,41.59
2025/03/21-01:23:30,1852,344,4369,185,-294,2281,448,-27,-116,25.45,996.78,0.45,500,39.94
2025/03/21-01:24:00,-1312,303,4308,183,310,-2781,255,-83,-122,25.28,996.78,0.5,500,39.3
2025/03/21-01:24:30,606,480,4119,-80,489,455,393,-187,-42,24.67,996.65,0.46,500,39.23
2025/03/21-01:25:00,-605,-234,4059,430,-266,-2700,329,-142,-218,25.03,996.67,0.45,500,39.86
2025/03/21-01:25:30,-405,-134,4169,-357,-176,2484,351,-154,-246,25.1,996.81,0.48,500,39.67
2025/03/21-01:26:00,-869,77,4597,-195,-65,671,460,-2,-138,25.89,996.98,0.47,500,40.07
2025/03/21-01:26:30,-1122,-270,3819,-344,281,2982,368,-240,-70,25.22,996.77,0.49,500,40.91
2025/03/21-01:27:00,1166,19,3903,-459,-338,97,228,-5,-233,25.47,996.82,0.49,500,39.16
2025/03/21-01:27:30,1760,-44,4588,398,-174,965,404,-151,-137,25.03,996.58,0.47,500,39.35
2025/03/21-01:28:00,-972,-64,4043,-11,325,-830,433,-135,-213,24.91,996.89,0.46,500,40.71
2025/03/21-01:28:30,1178,377,4476,-377,189,-2192,368,-195,-220,24.95,996.71,0.46,500,39.54
2025/03/21-01:29:00,-110,-468,4318,469,-148,-1574,200,-97,-13,25.26,996.85,0.48,500,40.04
2025/03/21-01:29:30,-1168,-103,4559,-382,306,-897,492,-7,-34,25.98,996.52,0.5,500,39.96
2025/03/21-01:30:00,1233,-393,4192,-88,-32,290,338,-12,-6,25.61,996.53,0.47,500,40.29
2025/03/21-01:30:30,989,-148,4538,-314,-82,65,216,-51,-222,24.76,996.8,0.46,500,41.65
2025/03/21-01:31:00,-1985,-227,4482,298,-371,-2298,429,-79,-222,25.98,996.89,0.47,500,41.46
2025/03/21-01:31:30,-1337,-441,4524,159,358,-1749,461,-229,-194,24.54,996.85,0.48,500,39.77
2025/03/21-01:32:00,702,5,4290,183,-298,2234,209,-4,-104,25.33,996.99,0.49,500,40.25
2025/03/21-01:32:30,-399,-53,3829,-133,97,769,374,-176,-238,25.85,996.91,0.46,500,40.68
2025/03/21-01:33:00,1003,260,4360,18,-54,-2825,320,-97,-207,25.39,996.63,0.46,500,41.27
2025/03/21-01:33:30,1790,-378,4365,-12,470,-572,219,-3,-106,25.36,996.52,0.48,500,40.01
2025/03/21-01:34:00,1146,-184,3841,109,150,516,376,-49,-61,25.43,996.96,0.48,500,40.46
2025/03/21-01:34:30,486,-88,4273,-365,289,-2322,351,-48,-56,25.36,996.92,0.49,500,41.24
2025/03/21-01:35:00,971,-190,3827,429,-440,-2352,323,-67,-76,25.14,996.54,0.46,500,39.69
2025/03/21-01:35:30,593,-99,4496,-32,-397,-2174,243,-117,-202,25.22,996.69,0.5,500,41.11
2025/03/21-01:36:00,-194,-164,4550,-364,286,1862,323,-246,-243,25.82,996.81,0.48,500,39.08
2025/03/21-01:36:30,178,-200,3899,311,-340,2831,285,-124,-226,25.68,996.69,0.5,500,39.73
2025/03/21-01:37:00,495,101,4310,-405,396,-826,382,-58,-234,25.51,996.8,0.47,500,41.76
2025/03/21-01:37:30,805,-64,3963,479,480,2217,486,-64,-113,25.38,996.65,0.45,500,41.64
2025/03/21-01:38:00,-1793,237,3801,48,74,1821,342,-118,-204,25.19,996.98,0.48,500,40.39
2025/03/21-01:38:30,1961,-148,4374,288,442,-1861,450,-19,-54,25.01,996.65,0.47,500,40.0
2025/03/21-01:39:00,1955,311,3875,13,-147,2256,202,-186,-34,25.31,996.97,0.47,500,41.34
2025/03/21-01:39:30,-275,-173,4305,-444,48,2503,220,-104,-81,25.37,996.78,0.49,500,40.74
2025/03/21-01:40:00,-96,386,4491,-76,-342,-228,451,-196,-46,25.09,996.96,0.48,500,39.65
2025/03/21-01:40:30,1924,-326,4105,120,49,2513,237,-215,-223,25.54,996.95,0.49,500,39.97
2025/03/21-01:41:00,-538,476,3912,436,-458,-2561,313,-184,-94,24.99,996.89,0.48,500,41.8
2025/03/21-01:41:30,920,-15,4487,432,-34,-755,417,-191,-203,24.72,996.83,0.47,500,41.84
2025/03/21-01:42:00,-1626,-353,4121,-39,316,-2405,216,-17,-172,25.44,997.0,0.48,500,39.38
2025/03/21-01:42:30,-1685,-423,4364,-324,-348,2081,317,-222,-210,24.92,996.55,0.46,500,39.58
2025/03/21-01:43:00,-1168,299,4321,-41,165,2328,442,-193,-77,24.5,996.51,0.49,500,41.69
2025/03/21-01:43:30,949,-156,4369,494,-488,-2607,391,-30,-198,24.92,996.6,0.49,500,39.76
2025/03/21-01:44:00,-144,294,4422,-473,188,-8,222,-145,-99,25.25,996.7,0.46,500,41.01
2025/03/21-01:44:30,-701,-449,4437,62,-496,271,307,-193,-228,25.99,996.55,0.46,500,40.08
2025/03/21-01:45:00,613,-3,3973,-136,272,2616,263,-212,-150,25.8,996.63,0.48,500,39.52
2025/03/21-01:45:30,-1682,-415,4350,104,-484,206,391,-152,-97,25.79,996.72,0.48,500,40.04
2025/03/21-01:46:00,1758,-41,4070,341,393,2407,410,-187,-127,25.5,997.0,0.48,500,40.0
2025/03/21-01:46:30,-1985,38,4217,377,135,2814,246,-70,-35,25.17,996.82,0.48,500,39.01
2025/03/21-01:47:00,1209,-378,4298,156,-111,-240,373,-169,-10,25.11,996.89,0.47,500,41.59
2025/03/21-01:47:30,-223,491,4492,51,392,-1395,279,-178,-38,25.1,996.66,0.48,500,41.84
2025/03/21-01:48:00,607,493,3851,29,-158,-1590,425,-199,-163,25.31,996.67,0.48,500,39.0
2025/03/21-01:48:30,1297,244,4015,-347,10,618,468,-107,-242,24.55,996.62,0.45,500,41.25
2025/03/21-01:49:00,414,-215,4255,140,258,2811,417,-140,-17,24.51,996.89,0.46,500,39.69
2025/03/21-01:49:30,-299,-213,4126,-421,-33,-8,419,-87,-61,24.52,996.74,0.46,500,41.32
2025/03/21-01:50:00,1252,379,4217,194,-264,2573,480,-69,-210,24.59,996.96,0.49,500,39.18
2025/03/21-01:50:30,1412,456,4490,-415,116,951,465,-81,-145,25.77,996.58,0.45,500,39.42
2025/03/21-01:51:00,-610,393,4357,255,187,-929,251,-10,-173,25.15,996.81,0.49,500,40.59
2025/03/21-01:51:30,444,183,4236,499,-6,2404,313,-166,-5,24.64,996.78,0.49,500,41.65
2025/03/21-01:52:00,-1294,-186,3925,496,148,-1070,440,-215,-51,25.86,996.72,0.48,500,40.9
2025/03/21-01:52:30,-1598,-272,4227,-237,302,-1072,201,-28,-102,25.69,996.74,0.49,500,40.76
2025/03/21-01:53:00,-623,167,4514,443,4,1075,424,-73,-29,24.81,996.73,0.48,500,40.45
2025/03/21-01:53:30,1062,216,3892,265,332,1155,243,-48,-211,25.67,996.72,0.5,500,39.56
2025/03/21-01:54:00,-130,-248,4311,188,395,-538,394,-34,-21,25.64,996.93,0.47,500,40.92
2025/03/21-01:54:30,1315,-410,4072,-155,-190,1809,385,-43,-12,25.49,996.71,0.46,500,41.54
2025/03/21-01:55:00,-1688,393,4559,-220,-153,-2,326,-4,-47,25.77,996.51,0.47,500,41.27
2025/03/21-01:55:30,-721,-169,4565,394,-190,-554,320,-145,-230,25.5,996.64,0.45,500,41.18
2025/03/21-01:56:00,-415,188,4386,447,365,2458,486,-214,-24,24.58,996.95,0.47,500,40.43
2025/03/21-01:56:30,-709,411,4268,191,326,-195,316,-184,-131,25.74,996.6,0.49,500,40.85
2025/03/21-01:57:00,405,-349,3908,-327,346,-1770,289,-170,-65,25.36,996.74,0.48,500,39.67
2025/03/21-01:57:30,-486,313,4140,322,54,-2884,424,-221,-58,25.32,996.51,0.48,500,40.8
2025/03/21-01:58:00,1194,186,4505,-54,-270,1618,246,-130,-38,25.23,996.85,0.5,500,40.46
2025/03/21-01:58:30,824,-8,4296,-428,128,2715,226,-46,-4,25.25,996.83,0.45,500,41.0
2025/03/21-01:59:00,901,100,3917,-465,165,2379,344,-245,-18,25.26,996.73,0.46,500,39.3
2025/03/21-01:59:30,757,-492,4234,138,-281,2696,270,-235,-145,24.5,996.56,0.47,500,39.24
2025/03/21-02:00:00,656,-245,4189,264,-115,-1989,412,-1,-162,24.88,996.59,0.49,500,39.34
2025/03/21-02:00:30,1981,320,3964,-108,4,276,275,-194,-185,24.62,996.58,0.49,500,41.36
2025/03/21-02:01:00,1480,-107,4169,3,-441,2023,374,-128,-4,24.75,996.97,0.47,500,40.43
2025/03/21-02:01:30,574,-451,3817,389,-161,874,414,-204,-50,25.3,996.69,0.47,500,41.23
2025/03/21-02:02:00,-572,-470,3875,208,249,-544,465,-49,-74,24.98,996.7,0.46,500,39.29
2025/03/21-02:02:30,-1192,-213,4246,376,-369,-2717,254,-36,-243,25.08,996.94,0.46,500,39.56
2025/03/21-02:03:00,-1456,141,3813,-295,-378,-2008,302,-162,-131,24.63,996.86,0.47,500,40.21
2025/03/21-02:03:30,-1013,420,4162,309,-500,2651,482,-17,-91,25.45,996.89,0.49,500,40.35
2025/03/21-02:04:00,-178,170,4554,25,-80,2240,332,-106,-57,24.7,997.0,0.48,500,41.33
