time,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
2025/03/23-01:46:44,120,-16,4107,-2,1,2
2025/03/21-08:55:25,116,-12,4094,-2,0,2
2025/03/25-02:42:51,101,-23,4112,0,2,0
2025/03/25-14:02:45,106,-3,4118,-1,1,-2
2025/03/21-05:38:48,105,-21,4111,-1,-1,-2
2025/03/22-02:28:24,123,-25,4095,-2,0,1
2025/03/25-04:59:20,122,-19,4103,-1,-2,2
2025/03/22-11:35:05,128,-14,4117,2,0,-1
2025/03/24-19:23:07,114,-27,4112,-1,1,-1
2025/03/22-07:33:21,126,-17,4114,-2,-1,-2
2025/03/22-21:18:01,102,-20,4089,1,-2,1
2025/03/21-19:29:47,128,-3,4100,-2,-2,2
2025/03/21-09:05:12,129,-3,4107,0,0,1
2025/03/21-07:35:36,121,-12,4117,0,-2,1
2025/03/24-16:19:25,129,-20,4087,-1,-2,-1
2025/03/21-00:43:25,113,-1,4082,-1,0,-1
2025/03/24-16:59:29,129,-15,4109,-1,-1,1
2025/03/25-21:25:54,119,-14,4098,2,0,-2
2025/03/23-11:28:57,110,-13,4110,1,-2,-1
2025/03/24-17:05:29,114,-19,4080,-1,-1,-2
2025/03/22-07:59:18,104,-30,4105,-1,-2,2
2025/03/23-11:57:39,128,-15,4085,1,-1,1
2025/03/21-19:37:31,108,-27,4095,2,0,-1
2025/03/21-21:50:15,119,-26,4080,-1,-1,-1
2025/03/23-10:46:12,128,-26,4080,1,1,0
2025/03/21-03:03:43,126,-8,4090,2,2,-2
2025/03/25-17:42:13,126,-24,4090,-2,1,-2
2025/03/22-10:59:07,113,-27,4087,2,2,2
2025/03/24-11:28:24,113,-3,4096,2,-2,1
2025/03/23-03:00:39,100,-23,4099,2,0,1
2025/03/24-17:40:21,122,-8,4090,0,-1,-2
2025/03/21-16:56:37,113,-4,4083,-1,-2,0
2025/03/25-23:41:39,110,-16,4092,1,-2,1
2025/03/22-12:47:48,109,-14,4093,-1,-2,-2
2025/03/24-15:46:26,112,-22,4102,1,-2,1
2025/03/22-04:47:14,124,-30,4113,1,0,0
2025/03/21-01:43:09,110,-25,4113,1,-1,1
2025/03/22-04:35:35,123,-8,4086,1,2,-2
2025/03/21-02:15:20,122,-22,4085,2,2,1
2025/03/21-04:53:36,124,-4,4107,2,-2,-1
2025/03/24-07:04:56,127,-15,4100,1,1,-2
2025/03/25-02:30:58,104,-19,4101,-2,-1,2
2025/03/21-04:32:07,100,-10,4114,2,-2,-2
2025/03/21-12:35:01,110,-17,4104,-2,-2,-1
2025/03/22-03:12:34,117,-12,4118,2,0,2
2025/03/24-04:38:20,110,-11,4107,0,2,1
2025/03/25-20:10:48,114,-18,4083,-2,-2,2
2025/03/23-15:47:06,113,-27,4097,-2,-2,-1
2025/03/24-07:28:40,125,-14,4115,0,-2,1
2025/03/22-07:15:23,101,-5,4101,0,1,-1
2025/03/22-01:47:37,108,-13,4119,2,-2,-1
2025/03/24-16:48:33,121,-30,4087,-2,-2,-1
2025/03/21-11:48:26,123,-24,4100,2,1,0
2025/03/23-05:42:43,129,-5,4112,2,-2,-2
2025/03/25-15:45:44,124,-25,4088,2,-2,-1
2025/03/24-19:52:09,122,-22,4109,2,2,-1
2025/03/21-19:19:14,109,-21,4105,-1,-1,0
2025/03/21-22:10:06,127,-6,4112,-2,2,0
2025/03/25-19:57:49,114,-4,4093,-1,1,-2
2025/03/21-04:22:15,128,-29,4087,-1,1,0
2025/03/24-11:54:15,106,-16,4103,1,2,1
2025/03/22-16:05:15,106,-27,4117,0,-1,-1
2025/03/24-13:18:28,106,-30,4118,1,-1,2
2025/03/24-16:58:04,124,-29,4101,0,0,0
2025/03/21-17:35:41,111,-9,4114,-2,2,2
2025/03/25-06:44:25,104,-17,4087,2,-2,-2
2025/03/22-06:43:21,111,-10,4111,-2,1,-1
2025/03/24-15:10:51,124,-28,4101,2,-1,-1
2025/03/22-03:16:33,124,-27,4107,2,-2,1
2025/03/25-11:09:03,125,-10,4101,-2,2,-1
2025/03/21-20:09:41,111,-2,4115,1,-2,0
2025/03/25-12:33:25,129,-12,4081,2,1,2
2025/03/22-20:34:58,120,-26,4109,0,-2,-1
2025/03/21-13:32:25,128,-5,4108,-2,-1,-2
2025/03/21-10:32:21,110,-10,4105,2,0,-1
2025/03/23-07:28:11,112,-10,4089,-2,0,-2
2025/03/21-17:13:43,105,-4,4085,-1,1,1
2025/03/24-08:01:01,102,-11,4106,-2,-2,2
2025/03/22-16:44:00,107,-24,4118,2,2,2
2025/03/24-07:55:32,107,-28,4105,0,2,1
2025/03/21-10:01:15,111,-10,4113,0,1,1
2025/03/21-02:49:40,106,-23,4119,1,-2,-2
2025/03/25-10:31:08,128,-16,4082,-1,0,1
2025/03/22-01:31:08,106,-3,4094,-1,1,-2
2025/03/24-21:17:32,109,-17,4092,-2,-2,-2
2025/03/22-13:52:33,125,-19,4083,1,2,0
2025/03/21-11:20:15,124,-25,4119,-2,1,2
2025/03/22-13:16:24,126,-7,4086,2,2,2
2025/03/21-19:02:29,108,-6,4093,0,2,-2
2025/03/22-09:19:26,100,-8,4109,-2,0,-1
2025/03/25-05:32:14,116,-28,4113,-2,1,1
2025/03/24-19:43:35,126,-27,4083,1,-1,-2
2025/03/21-02:02:25,118,-19,4112,0,0,2
2025/03/25-04:29:42,114,-15,4097,-1,0,-1
2025/03/25-02:04:27,105,-19,4099,2,-1,0
2025/03/24-19:22:44,123,-11,4091,0,2,0
2025/03/23-07:10:49,109,-10,4097,-1,2,2
2025/03/21-18:11:09,108,-6,4114,1,0,2
2025/03/21-08:10:29,122,-2,4100,1,2,0
2025/03/24-10:26:31,113,-14,4106,-1,0,-1
2025/03/21-07:07:15,113,-1,4088,1,2,1
2025/03/23-17:48:42,121,-4,4110,2,1,-2
2025/03/22-01:00:45,107,-4,4101,-2,1,-2
2025/03/25-12:18:11,118,-9,4107,2,2,-2
2025/03/22-19:51:19,117,-2,4107,-1,2,1
2025/03/21-05:33:01,129,-9,4106,1,2,2
2025/03/25-21:57:09,117,-7,4095,1,-2,0
2025/03/22-00:28:19,121,-29,4110,2,-1,1
2025/03/23-10:29:17,106,-2,4088,-1,-1,2
2025/03/25-02:20:37,122,-26,4109,2,-2,-2
2025/03/23-03:44:27,127,-7,4114,-1,0,-1
2025/03/22-16:35:59,106,-20,4089,-2,1,0
2025/03/23-19:14:54,125,-14,4086,1,1,2
2025/03/24-10:41:55,129,-6,4118,-1,-1,0
2025/03/24-14:54:04,125,-15,4116,0,1,-2
2025/03/22-06:49:18,123,-9,4110,-2,-1,2
2025/03/25-09:42:48,129,-25,4113,1,-1,-1
2025/03/24-20:12:32,101,-2,4109,0,1,0
2025/03/24-16:02:06,112,-10,4094,-1,0,1
2025/03/21-22:54:50,107,-12,4091,0,0,-1
2025/03/22-20:47:34,119,-11,4084,-1,2,-2
2025/03/21-17:29:27,101,-6,4099,2,-2,-2
2025/03/22-03:17:31,115,-23,4102,-1,-2,-1
2025/03/25-12:52:33,122,-23,4085,0,2,-1
2025/03/24-19:02:57,104,-17,4102,-1,2,1
2025/03/23-07:01:35,124,-22,4104,-1,1,1
2025/03/23-01:48:36,111,-5,4111,0,-2,-1
2025/03/21-14:20:42,109,-2,4116,0,-2,-1
2025/03/25-12:06:25,110,-1,4099,0,1,-1
2025/03/22-10:10:57,121,-13,4113,0,2,-1
2025/03/25-08:49:52,102,-9,4100,0,-2,0
2025/03/21-17:41:50,113,-8,4092,-2,0,-2
2025/03/23-00:07:11,124,-19,4113,-2,0,-2
2025/03/21-16:07:01,126,-25,4108,1,0,1
2025/03/25-14:36:32,129,-25,4104,-2,2,0
2025/03/24-05:03:53,119,-14,4084,1,-1,-1
2025/03/25-15:10:57,121,-29,4109,-1,2,1
2025/03/23-05:50:23,103,-29,4088,-1,0,1
2025/03/23-18:42:19,124,-30,4087,-1,-2,-2
2025/03/22-05:56:48,123,-20,4106,2,-1,2
2025/03/25-17:24:53,118,-3,4112,-2,-2,-1
2025/03/24-00:01:10,113,-7,4081,-2,2,1
2025/03/24-16:01:21,121,-7,4081,0,0,-2
2025/03/22-21:27:06,123,-8,4117,0,0,2
2025/03/25-02:19:51,101,-19,4085,1,-1,1
2025/03/23-18:18:15,109,-14,4083,0,0,0
2025/03/24-19:02:20,129,-18,4087,-2,-1,-2
2025/03/23-04:49:13,103,-21,4098,2,-2,2
2025/03/25-13:18:00,128,-9,4105,0,-2,1
2025/03/21-13:09:16,102,-19,4108,-2,2,2
2025/03/24-17:46:04,118,-3,4093,2,-1,-1
2025/03/21-09:42:56,115,-17,4110,1,-1,0
2025/03/25-19:39:27,119,-24,4090,-2,2,2
2025/03/24-05:31:10,119,-29,4102,-1,-2,1
2025/03/21-14:25:00,122,-25,4086,-2,0,2
2025/03/24-15:14:16,101,-7,4081,-1,1,1
2025/03/23-02:12:00,105,-26,4088,2,0,-1
2025/03/23-04:09:28,123,-6,4105,0,2,-2
2025/03/23-10:42:49,123,-28,4110,2,1,-2
2025/03/25-19:53:56,125,-14,4102,2,-2,-2
2025/03/25-00:16:34,122,-25,4111,2,-1,1
2025/03/21-20:03:44,104,-9,4101,2,-1,1
2025/03/24-02:52:15,103,-10,4119,-2,2,-1
2025/03/22-18:06:28,112,-23,4114,-2,1,2
2025/03/25-15:06:19,110,-2,4081,0,-1,1
2025/03/22-09:48:32,111,-10,4113,-2,1,-2
2025/03/24-02:52:57,129,-24,4109,1,-1,1
2025/03/24-05:22:45,110,-17,4089,-1,0,-1
2025/03/22-00:40:03,104,-9,4103,1,1,-1
2025/03/22-14:35:31,102,-11,4107,-1,0,1
2025/03/24-14:43:39,119,-24,4089,-1,0,-2
2025/03/25-17:58:26,102,-29,4095,1,-2,-2
2025/03/24-23:08:04,113,-9,4113,0,-1,1
2025/03/21-00:54:25,103,-7,4087,-2,1,-1
2025/03/21-07:07:58,124,-27,4094,2,-2,-2
2025/03/25-01:06:31,109,-2,4101,0,1,1
2025/03/24-13:00:20,112,-4,4108,1,2,0
2025/03/25-20:47:59,110,-2,4085,1,2,2
2025/03/21-06:01:49,103,-7,4103,-2,-2,1
2025/03/25-03:48:37,115,-24,4113,2,2,1
2025/03/24-10:44:19,103,-6,4111,-1,-2,2
2025/03/24-22:45:39,105,-23,4102,0,1,-1
2025/03/22-03:19:39,114,-16,4087,0,1,-1
2025/03/21-12:45:19,119,-2,4102,0,2,-1
2025/03/21-21:22:28,105,-9,4112,-2,-2,1
2025/03/23-19:18:55,127,-17,4114,-1,0,2
2025/03/24-08:44:04,116,-6,4110,1,-1,-2
2025/03/24-19:36:23,119,-14,4107,-1,-2,0
2025/03/23-13:54:57,102,-9,4103,-1,2,-2
2025/03/23-06:17:29,101,-7,4112,-1,0,-2
2025/03/21-03:39:19,102,-29,4106,-2,-2,-1
2025/03/21-09:42:09,125,-7,4097,0,2,-2
2025/03/24-16:17:12,114,-14,4101,0,1,1
2025/03/23-18:41:33,101,-25,4110,2,1,2
2025/03/23-15:16:36,109,-19,4092,0,2,0
2025/03/22-06:48:22,123,-4,4114,1,0,0
2025/03/24-08:46:03,112,-16,4081,0,1,2
2025/03/22-10:25:38,106,-26,4104,1,0,0
2025/03/21-02:22:51,117,-27,4080,0,-2,2
2025/03/25-21:34:08,116,-5,4117,0,2,0
2025/03/23-09:26:26,117,-1,4096,2,-1,0
2025/03/22-20:27:22,110,-7,4099,2,-1,2
2025/03/23-12:50:30,105,-1,4088,1,2,2
2025/03/22-23:42:34,103,-8,4103,-1,-1,0
2025/03/24-08:25:40,129,-27,4100,2,0,2
2025/03/21-18:18:07,124,-17,4113,1,-2,1
2025/03/25-06:00:13,127,-28,4107,0,1,1
2025/03/23-06:12:56,117,-30,4100,2,2,2
2025/03/24-07:54:58,111,-15,4112,1,2,1
2025/03/24-21:43:17,119,-8,4105,-1,0,-1
2025/03/22-05:10:52,111,-23,4085,2,2,2
2025/03/25-20:24:22,111,-6,4103,-2,-1,1
2025/03/25-15:34:34,116,-25,4119,0,1,2
2025/03/21-00:56:59,112,-10,4116,-1,-1,2
2025/03/21-18:40:56,104,-17,4087,2,0,2
2025/03/25-19:09:24,104,-25,4101,-2,0,-1
2025/03/22-06:01:57,118,-23,4111,-1,0,2
2025/03/23-14:36:10,103,-5,4096,-1,0,1
2025/03/24-07:58:57,124,-23,4104,1,2,-2
2025/03/21-18:01:34,125,-10,4100,1,1,-2
2025/03/24-16:55:30,115,-16,4105,-2,-1,1
2025/03/25-12:55:47,104,-16,4118,-2,-2,-1
2025/03/24-15:48:05,110,-1,4114,2,-1,2
2025/03/21-14:42:40,129,-19,4100,-2,1,1
2025/03/21-17:25:29,103,-22,4111,-2,-1,2
2025/03/23-23:41:51,123,-24,4101,0,1,1
2025/03/25-08:13:03,106,-12,4112,0,2,2
2025/03/24-21:24:53,107,-12,4113,0,1,1
2025/03/21-04:52:38,122,-26,4101,1,-2,1
2025/03/25-22:17:41,126,-9,4100,-1,2,0
2025/03/21-00:50:32,112,-22,4086,0,-2,1
2025/03/22-08:02:39,101,-13,4084,1,0,0
2025/03/24-09:37:32,117,-29,4106,-1,2,2
2025/03/24-19:32:54,104,-22,4110,0,2,-1
2025/03/23-11:27:12,106,-21,4087,-1,1,-1
2025/03/24-08:02:50,118,-26,4100,0,-2,-2
2025/03/25-05:22:49,100,-6,4097,2,-2,0
2025/03/22-03:27:40,113,-10,4095,0,-2,2
2025/03/25-01:07:02,104,-3,4086,2,-1,0
2025/03/24-21:54:15,100,-7,4113,-1,-2,-1
2025/03/25-21:03:26,119,-15,4088,2,0,-2
2025/03/22-10:28:03,128,-30,4081,-2,-1,2
2025/03/23-08:18:43,109,-7,4104,2,1,0
2025/03/21-02:42:04,122,-5,4116,-1,-2,2
2025/03/21-18:16:13,102,-30,4084,-2,-2,-2
2025/03/22-11:30:15,109,-9,4084,1,-2,-2
2025/03/25-09:23:48,129,-18,4083,-2,2,-2
2025/03/21-05:34:52,104,-28,4090,2,-1,-2
2025/03/23-06:56:14,114,-21,4104,1,2,0
2025/03/23-08:16:54,121,-27,4115,2,1,-1
2025/03/23-17:49:30,126,-16,4095,-1,0,-1
2025/03/23-20:22:08,109,-22,4084,1,0,-2
2025/03/23-02:00:40,119,-12,4115,-2,-2,2
2025/03/22-10:11:41,129,-1,4093,-2,-2,1
2025/03/24-22:32:41,124,-23,4083,0,-2,1
2025/03/23-04:47:10,111,-25,4093,2,0,1
2025/03/23-21:52:22,106,-1,4108,-2,0,-2
2025/03/23-20:55:50,113,-24,4089,-1,-2,1
2025/03/24-09:34:41,118,-26,4095,0,1,-1
2025/03/23-00:30:08,107,-22,4086,-1,2,1
2025/03/23-09:59:03,104,-27,4117,1,1,-1
2025/03/22-12:43:24,121,-9,4103,1,0,-1
2025/03/25-10:52:47,120,-16,4080,-1,-1,0
2025/03/23-06:53:16,115,-30,4087,0,-1,0
2025/03/24-10:50:30,117,-18,4085,2,-2,2
2025/03/22-10:48:09,123,-5,4113,-1,0,0
2025/03/21-03:27:12,102,-3,4088,-1,1,1
2025/03/22-17:13:54,120,-17,4117,2,-1,-2
2025/03/23-16:21:00,125,-20,4090,1,-1,1
2025/03/23-08:23:42,116,-18,4102,1,-1,2
2025/03/22-17:05:46,108,-15,4082,2,1,1
2025/03/21-23:24:20,117,-16,4098,1,2,-2
2025/03/21-01:09:17,100,-23,4105,2,0,-2
2025/03/23-04:32:42,100,-19,4095,0,1,2
2025/03/25-05:49:32,113,-4,4084,1,-2,1
2025/03/22-07:54:43,118,-13,4111,1,0,-1
2025/03/24-17:29:31,101,-25,4080,0,2,-1
2025/03/22-09:38:43,118,-23,4096,0,0,1
2025/03/25-13:20:19,104,-30,4099,-1,-1,0
2025/03/24-13:47:24,104,-2,4084,0,0,1
2025/03/22-21:50:38,106,-4,4118,0,-2,0
2025/03/25-23:11:59,121,-16,4081,-2,-2,0
2025/03/25-08:51:53,115,-30,4105,1,1,2
2025/03/22-12:48:36,117,-4,4084,0,-1,-2
2025/03/24-12:22:55,127,-27,4102,1,0,-2
2025/03/23-17:05:39,102,-3,4099,0,-2,1
2025/03/22-13:22:47,113,-23,4117,-2,1,-2
2025/03/24-16:41:23,108,-30,4115,-1,-1,0
2025/03/24-05:28:56,113,-14,4115,-1,0,-2
2025/03/24-17:22:17,115,-28,4083,0,2,-1
2025/03/21-17:16:25,100,-19,4111,-2,1,-1
2025/03/25-22:17:32,106,-9,4109,-1,-2,1
2025/03/21-18:31:54,116,-30,4091,-1,-2,-2
2025/03/23-12:52:57,122,-25,4107,-1,-1,1
2025/03/22-03:53:49,100,-30,4091,-2,0,0
2025/03/24-19:32:03,110,-3,4114,-2,1,-2
2025/03/22-19:06:34,108,-3,4081,-1,0,2
2025/03/23-13:01:20,115,-1,4104,-2,-2,1
2025/03/24-02:37:56,128,-16,4106,2,1,0
2025/03/21-12:27:58,126,-6,4101,1,1,0
2025/03/25-08:51:05,101,-17,4094,2,-2,-2
2025/03/23-04:10:48,127,-26,4080,0,2,1
2025/03/22-16:23:46,114,-9,4091,-2,0,2
2025/03/23-20:21:20,112,-29,4094,-2,1,2
2025/03/22-03:58:32,104,-1,4114,-2,2,1
2025/03/22-22:14:00,114,-8,4102,-1,1,-1
2025/03/24-06:17:17,119,-15,4088,-1,0,-1
2025/03/24-10:31:57,106,-1,4112,-1,-1,-1
2025/03/24-12:58:07,112,-23,4085,2,0,0
2025/03/25-11:40:42,104,-26,4096,-2,1,-1
2025/03/25-16:06:12,119,-14,4112,0,1,-1
2025/03/24-09:43:25,108,-24,4093,-2,0,2
2025/03/24-11:13:35,121,-8,4087,-2,1,-1
2025/03/25-09:48:35,114,-9,4097,0,1,-2
2025/03/25-19:01:11,116,-1,4080,2,1,-1
2025/03/23-00:26:22,128,-16,4117,1,0,0
2025/03/21-07:42:07,120,-10,4081,-1,-2,1
2025/03/21-00:50:26,107,-23,4108,0,-1,0
2025/03/21-10:37:14,121,-21,4109,0,0,0
2025/03/23-15:22:55,124,-27,4112,0,0,2
2025/03/25-07:20:40,118,-5,4098,0,2,1
2025/03/22-05:20:01,100,-24,4104,1,-2,1
2025/03/24-17:03:56,113,-20,4090,0,-2,0
2025/03/21-02:45:31,107,-9,4096,1,0,0
2025/03/21-11:23:59,103,-8,4080,0,0,-2
2025/03/23-06:13:44,123,-8,4093,-2,0,2
2025/03/21-20:55:48,120,-5,4114,2,2,1
2025/03/22-19:38:08,103,-18,4086,-2,2,-2
2025/03/21-12:49:14,111,-12,4097,0,0,0
2025/03/23-01:41:00,114,-14,4104,0,-1,0
2025/03/22-05:17:12,125,-20,4114,-2,-1,0
2025/03/23-07:15:50,121,-3,4113,-2,-1,-1
2025/03/25-00:53:30,101,-22,4113,-1,2,1
2025/03/23-21:19:00,121,-29,4110,-1,1,-1
2025/03/25-16:29:34,127,-19,4108,-1,-2,-2
2025/03/22-19:46:46,104,-10,4085,2,-2,-2
2025/03/24-06:12:48,103,-6,4090,0,-1,0
2025/03/25-16:21:06,109,-4,4084,-1,-2,-2
2025/03/24-10:51:45,120,-20,4083,-1,1,0
2025/03/21-05:23:12,111,-5,4088,2,-2,1
2025/03/23-18:09:05,119,-7,4095,-2,1,1
2025/03/24-07:05:55,100,-30,4093,-1,1,1
2025/03/21-08:29:48,100,-28,4100,-2,1,-2
2025/03/24-10:09:30,106,-30,4111,-2,2,0
2025/03/24-06:03:05,107,-25,4094,0,0,-2
2025/03/25-14:03:39,107,-28,4093,0,-1,0
2025/03/22-01:59:41,115,-9,4086,0,1,2
2025/03/21-03:30:17,103,-21,4099,2,1,1
2025/03/22-23:38:32,114,-26,4080,2,-1,1
2025/03/24-13:00:17,122,-9,4087,1,-2,1
2025/03/24-22:45:58,113,-4,4111,-2,0,-2
2025/03/21-21:27:25,123,-23,4091,-1,0,2
2025/03/22-13:51:28,128,-9,4090,2,0,-2
2025/03/22-03:13:40,121,-21,4111,-1,-1,2
2025/03/25-08:35:40,108,-22,4080,0,-1,2
2025/03/22-18:53:47,108,-16,4089,-2,-2,-1
2025/03/25-11:56:42,123,-24,4098,1,1,-2
2025/03/24-19:23:16,100,-4,4095,-2,1,-2
2025/03/23-12:45:54,106,-1,4102,1,1,1
2025/03/21-13:03:29,103,-14,4080,-1,-1,2
2025/03/24-15:08:23,113,-7,4108,-1,-2,0
2025/03/25-20:28:13,123,-6,4086,0,-2,2
2025/03/22-13:06:22,103,-6,4115,1,-1,0
2025/03/23-11:11:33,123,-27,4106,0,2,-2
2025/03/23-22:32:28,114,-26,4099,2,2,2
2025/03/22-06:53:09,113,-19,4088,-2,2,2
2025/03/22-11:17:14,129,-5,4102,2,-2,2
2025/03/23-12:59:33,106,-1,4081,2,1,-2
2025/03/21-11:34:08,119,-26,4080,1,-1,0
2025/03/21-03:11:29,122,-7,4119,-2,-2,1
2025/03/23-02:39:52,120,-18,4099,2,-1,2
2025/03/24-17:08:15,125,-30,4099,-2,-2,-2
2025/03/22-16:38:32,103,-23,4111,0,1,0
2025/03/22-03:37:39,127,-21,4084,2,-1,-1
2025/03/25-06:17:46,106,-28,4095,-2,0,-2
2025/03/21-20:19:00,105,-11,4099,1,-2,1
2025/03/23-21:11:29,112,-1,4088,-1,2,1
2025/03/23-22:12:19,122,-19,4113,2,0,0
2025/03/22-07:37:46,114,-25,4084,0,-1,2
2025/03/23-20:29:01,116,-4,4102,1,1,1
2025/03/21-17:37:58,107,-15,4100,2,2,0
2025/03/22-15:37:58,122,-16,4087,2,1,-2
2025/03/23-14:18:18,109,-9,4090,2,2,1
2025/03/24-20:08:01,110,-15,4115,-2,-1,-2
2025/03/23-02:55:52,129,-23,4095,1,-2,1
2025/03/24-11:41:15,115,-7,4083,-1,1,1
2025/03/23-06:21:00,110,-20,4111,-2,-2,0
2025/03/24-05:33:32,121,-4,4096,-2,-2,-2
2025/03/22-07:14:30,122,-29,4107,1,1,-2
2025/03/25-23:41:28,111,-24,4104,-1,-2,2
2025/03/22-20:59:12,112,-28,4094,-2,0,-1
2025/03/22-17:41:21,118,-28,4114,-1,-1,1
2025/03/25-18:49:15,104,-14,4103,0,2,-2
2025/03/24-23:55:33,119,-14,4104,1,-1,0
2025/03/22-07:56:07,100,-8,4118,0,1,-2
2025/03/22-20:33:10,116,-13,4107,1,0,-2
2025/03/24-22:55:38,100,-1,4080,1,0,-1
2025/03/24-16:31:12,100,-5,4118,2,0,2
2025/03/23-13:50:07,126,-3,4091,2,2,-1
2025/03/25-05:18:23,108,-10,4110,2,-1,0
2025/03/21-00:53:38,124,-11,4081,2,-1,2
2025/03/24-10:55:56,103,-17,4082,0,-1,2
2025/03/21-19:39:12,115,-28,4107,-2,-2,0
2025/03/25-12:58:59,114,-9,4091,0,-1,-2
2025/03/25-08:06:30,125,-14,4116,2,0,2
2025/03/23-16:15:56,116,-19,4106,1,0,0
2025/03/21-23:14:08,109,-16,4112,1,0,2
2025/03/24-15:35:54,109,-21,4083,-1,-1,-1
2025/03/21-01:53:35,119,-21,4118,-1,2,-2
2025/03/24-17:11:44,129,-4,4115,-2,-1,2
2025/03/25-13:50:37,111,-21,4105,2,0,-1
2025/03/23-15:12:53,103,-20,4109,-1,0,-1
2025/03/25-15:23:09,123,-1,4108,-2,-2,2
2025/03/23-08:23:41,127,-14,4094,-2,2,0
2025/03/23-00:06:56,105,-4,4100,0,1,-2
2025/03/23-19:01:13,118,-13,4104,2,2,1
2025/03/22-21:38:20,109,-13,4114,2,1,1
2025/03/23-09:19:20,124,-25,4091,2,-1,0
2025/03/25-09:45:44,116,-18,4115,0,1,0
